precinct_name,precinct_group,num_contests,total_options,total_uint16s,estimated_size_bytes,estimated_size_kb
"City of Wayne, Precinct 2",City of Wayne,40,152,273,546,0.53
"City of Wayne, Precinct 3",City of Wayne,40,156,277,554,0.54
"City of Wayne, Precinct 4",City of Wayne,40,159,280,560,0.55
"City of Wayne, Precinct 5",City of Wayne,40,155,276,552,0.54
"City of Wayne, Precinct 6",City of Wayne,40,159,280,560,0.55
"City of Westland, Precinct 1",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 10",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 11",City of Westland,35,134,240,480,0.47
"City of Westland, Precinct 12",City of Westland,35,140,246,492,0.48
"City of Westland, Precinct 13",City of Westland,35,135,241,482,0.47
"City of Westland, Precinct 14",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 15",City of Westland,35,142,248,496,0.48
"City of Westland, Precinct 16",City of Westland,35,142,248,496,0.48
"City of Westland, Precinct 17",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 18",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 19",City of Westland,35,135,241,482,0.47
"City of Westland, Precinct 2",City of Westland,35,135,241,482,0.47
"City of Westland, Precinct 20",City of Westland,35,137,243,486,0.47
"City of Westland, Precinct 21",City of Westland,35,151,257,514,0.50
"City of Westland, Precinct 22",City of Westland,35,143,249,498,0.49
"City of Westland, Precinct 23",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 24",City of Westland,38,145,260,520,0.51
"City of Westland, Precinct 25",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 27",City of Westland,35,143,249,498,0.49
"City of Westland, Precinct 28",City of Westland,37,149,261,522,0.51
"City of Westland, Precinct 29",City of Westland,35,134,240,480,0.47
"City of Westland, Precinct 3",City of Westland,35,134,240,480,0.47
"City of Westland, Precinct 30",City of Westland,35,139,245,490,0.48
"City of Westland, Precinct 32",City of Westland,35,131,237,474,0.46
"City of Westland, Precinct 33",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 34",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 35",City of Westland,35,145,251,502,0.49
"City of Westland, Precinct 36",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 37",City of Westland,35,139,245,490,0.48
"City of Westland, Precinct 38",City of Westland,35,139,245,490,0.48
"City of Westland, Precinct 39",City of Westland,35,139,245,490,0.48
"City of Westland, Precinct 4",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 40",City of Westland,35,140,246,492,0.48
"City of Westland, Precinct 41",City of Westland,35,141,247,494,0.48
"City of Westland, Precinct 5",City of Westland,35,136,242,484,0.47
"City of Westland, Precinct 6",City of Westland,35,133,239,478,0.47
"City of Westland, Precinct 7",City of Westland,35,138,244,488,0.48
"City of Westland, Precinct 8",City of Westland,35,135,241,482,0.47
"City of Westland, Precinct 9",City of Westland,35,137,243,486,0.47
"City of Woodhaven, Precinct 1",City of Woodhaven,37,148,260,520,0.51
"City of Woodhaven, Precinct 2",City of Woodhaven,37,145,257,514,0.50
"City of Woodhaven, Precinct 3",City of Woodhaven,37,142,254,508,0.50
"City of Woodhaven, Precinct 4",City of Woodhaven,37,150,262,524,0.51
"City of Woodhaven, Precinct 5",City of Woodhaven,37,145,257,514,0.50
"City of Woodhaven, Precinct 6",City of Woodhaven,37,150,262,524,0.51
"City of Wyandotte, Precinct 1",City of Wyandotte,34,135,238,476,0.46
"City of Wyandotte, Precinct 10",City of Wyandotte,34,135,238,476,0.46
"City of Wyandotte, Precinct 2",City of Wyandotte,34,142,245,490,0.48
"City of Wyandotte, Precinct 3",City of Wyandotte,34,138,241,482,0.47
"City of Wyandotte, Precinct 4",City of Wyandotte,34,138,241,482,0.47
"City of Wyandotte, Precinct 5",City of Wyandotte,34,139,242,484,0.47
"City of Wyandotte, Precinct 6",City of Wyandotte,34,140,243,486,0.47
"City of Wyandotte, Precinct 7",City of Wyandotte,34,135,238,476,0.46
"City of Wyandotte, Precinct 8",City of Wyandotte,34,133,236,472,0.46
"City of Wyandotte, Precinct 9",City of Wyandotte,34,140,243,486,0.47
"Lyon Township, Precinct 7",Lyon Township,5,5,21,42,0.04
"Novi Township, Precinct 1",Novi Township,5,5,21,42,0.04
"Redford Township, Precinct 1",Redford Township,38,149,264,528,0.52
"Redford Township, Precinct 2",Redford Township,38,144,259,518,0.51
"Redford Township, Precinct 3",Redford Township,38,152,267,534,0.52
"Redford Township, Precinct 4",Redford Township,38,151,266,532,0.52
"Redford Township, Precinct 5",Redford Township,38,152,267,534,0.52
"Redford Township, Precinct 6",Redford Township,38,156,271,542,0.53
"Redford Township, Precinct 7",Redford Township,38,153,268,536,0.52
"Redford Township, Precinct 8",Redford Township,38,151,266,532,0.52
"Redford Township, Precinct 9",Redford Township,37,154,266,532,0.52
"Salem Township, Precinct 3",Salem Township,6,6,25,50,0.05
"Shores, a Michigan City, Precinct 1","Shores, a Michigan City",36,143,252,504,0.49
"Superior Township, Precinct 5",Superior Township,4,4,17,34,0.03
"Township of Sumpter, Precinct 1",Township of Sumpter,40,153,274,548,0.54
"Township of Sumpter, Precinct 2",Township of Sumpter,39,159,277,554,0.54
"Township of Sumpter, Precinct 3",Township of Sumpter,38,155,270,540,0.53
"Township of Sumpter, Precinct 4",Township of Sumpter,38,153,268,536,0.52
"Ypsilanti Township, Precinct 8",Ypsilanti Township,4,4,17,34,0.03
