Machine ID,Machine QR code URL
SC-13-028,https://vxqr.org/sn/SC-13-028#MEQCIBfG3fULURx7uDUN1CeXvpqgOIB_WaRtxSIey4flj27CAiBtpSbTaO0GmJ05C_xyPztVF0XZGtQ9R_BGim3lrfeSdw
SC-13-029,https://vxqr.org/sn/SC-13-029#MEUCIAhucS-e2Rv7gRAwvTqNr3c6gg3w3I6Dts6fHzIu-Nz8AiEA1Ks4xZdapxKb6jYW5OKe5Aq54FYe0OYGu5we2CsAFf0
SC-13-030,https://vxqr.org/sn/SC-13-030#MEUCIHlo4z65zrCGgSBuzRLh5Od4A1lAckpQF6aInsdWWkc7AiEAzoYRELYfNDTkGJx-QI6CvkitF9p5H-GgDFJoBqOVHb0
SC-13-031,https://vxqr.org/sn/SC-13-031#MEUCIQDgLF-AiNiX9_LDt-3uObgrABUCizy7uVJcIdw71k9QXwIgK3jYWGuw6PX_m33sJN_xvvbL-0us5DHnbC_Dqrf03p8
SC-13-032,https://vxqr.org/sn/SC-13-032#MEYCIQD3Xy1VI7UZXm6h45JqBzcp6U8B7umdg20NTjsEGvUxjAIhALVdaBNwryRuXErYEXikaOnTS7MUFy9XH8f4u6PkMDJJ
SC-13-033,https://vxqr.org/sn/SC-13-033#MEUCIFlf_ZoWriLsZDIHNVjHW9gLLmEFa21-uSvdqa2_XkRIAiEAkjj5zKxROoaO27A4COpUaMO_JtqmMZgbUX3eNYNOolc
SC-13-034,https://vxqr.org/sn/SC-13-034#MEUCIQC0OeCHRYzQQImpMtkINK8Q110ZNfnvxsjf93_yh7dWgwIgTTiT17Sh2Ez6y701v0RQO877L-OiMsO5XAasdnt5drQ
SC-13-035,https://vxqr.org/sn/SC-13-035#MEUCIQDw8r0t9t7Nt8AbkAFzhJ51SuUMIbD_QJ0O71AtbkuxpgIgednLA-u92kGDJfobetNWhMpheDhgIX4qdrhKr2ZlxNE
SC-13-036,https://vxqr.org/sn/SC-13-036#MEUCIQDOYn4LTJJKc3zxiaXCp-QOknoPl72cuIIDXJxtjRFPhQIgcVpeMPd5h74SXs-metyNuguBe6J7-Edui643xi-lvEo
SC-13-037,https://vxqr.org/sn/SC-13-037#MEQCIB42sLqAdIubH4ii9o8xiybML9wSXUhd0aI6FYzBEtloAiAYr1JG97CJIiXEkYUiBL40GTzqAzPGHEwu5tFQN_453Q
SC-13-038,https://vxqr.org/sn/SC-13-038#MEYCIQD7VtTk33_ZL45Z9ceIK3dxwxVKPc4YO1lTa5DpyVseBQIhAPEf5QYCZkmKr1ZNXKNalu7RmauJ6-yPBQqqaJ5NCKW5
SC-13-039,https://vxqr.org/sn/SC-13-039#MEUCIQDGVd26B7LkwsMOj8slaeTzCD_2qO1p7hdPs5nvQDHEEgIgVYUMzfqyuiqHbgeFtXeR1gZOF7g-C0BVWwkCL-uM1Q8
SC-13-040,https://vxqr.org/sn/SC-13-040#MEQCIGhalmwRC2PIlRNNS3fd_6AO1YnnHM5Nwu6xeQU7pyA8AiAN2VZ7a4jcm1D1ej7fsRrJ2A64E85SXex18EOzlb_Apw
SC-13-041,https://vxqr.org/sn/SC-13-041#MEUCIEXSCkxOBzBaZ6YirTfgiBQQDE2lgUkpjSSGS3kfDxO_AiEAupIV-G3fUFX9aFlUrLeKgfchtXTD9HpT4aCssGODwwY
SC-13-042,https://vxqr.org/sn/SC-13-042#MEYCIQDOc5h_KBXjUei_pU8qUPIqGQokYSjz44EjBbG-UsFLYwIhALLzylT9-DpbOuNjX5_gDYI-lcMviGqX1V3fkYyb4Mko
SC-13-043,https://vxqr.org/sn/SC-13-043#MEUCIE8x4ck3o8A03T4z5oqQIXVWFshi94uhLLS2cU2IczCZAiEAigmfbgS8Kb01mvwOrlN4Tv1sVoKGN9g1afM_L24ktUs
SC-13-044,https://vxqr.org/sn/SC-13-044#MEUCIAL0cIunTsJ1x_6a-zbV_kF1TkgEwjU-xL8BdYHoVbGhAiEAkWK9x-YDwhar1qoLtGYHWkW-cT3yBNtLBSfO65Ji8os
SC-13-045,https://vxqr.org/sn/SC-13-045#MEYCIQCWqw4RQ6HTfoP7bqGBSDnA4zr4A8-DG5lIx01MfIwXegIhAKPGJiJ4iVyiX3ID3n7GczoLfN0vvBaIC1s3LsFhtKOF
SC-13-046,https://vxqr.org/sn/SC-13-046#MEUCIAsMnvNHmS9AGZOjC_Jlz_xTZA4cQKvcXrGzsMGyIHndAiEAuKze4Ddkij4QRx58zQbVWTf1fVTeCLgNlZZ8FIJgH2I
SC-13-047,https://vxqr.org/sn/SC-13-047#MEUCIQD-p_IoVwZsfqmR0TLkYICeYQiE3R-1j-paW5yDRNfroQIgYq07cdkWA3WwLahGbqdAZvXZtmBx7wZldg2JJlaPUNw
SC-13-048,https://vxqr.org/sn/SC-13-048#MEYCIQCLte8feReFEGzS5Lk7LIE0xbv5BQ9KY72ElL9xELQPKwIhAICQfdjXHjFaFquBptMFwS_8EP5P_iNL5P7MEqaLXSxW
SC-13-049,https://vxqr.org/sn/SC-13-049#MEQCIDix2sPK44ghzjG73-BBzUQvBHfSdx5QTxZ9clNDQxEeAiBvmZlVdVlkECt-Z5erRXtzZrAbktEpVsCcEi9YhUIZVA
SC-13-050,https://vxqr.org/sn/SC-13-050#MEUCIEmWgUorTKH6BJKPQM542grPj1_E6K_pv4iZ1Ivh61qDAiEAztNF6jLMKngANCEyyJ8wWi_H3UpUFMtVRn5R7oGjsUY
SC-13-051,https://vxqr.org/sn/SC-13-051#MEYCIQD_zZzsVNBu2pjjQr-vMHHSFq3-Me9SjDhBs6HZP-UAQAIhANqiwuac9zOgti4zjf1gRcNXdgaL7D4eQME4d6SpmfB2
SC-13-052,https://vxqr.org/sn/SC-13-052#MEYCIQDWvFExPX3908baiyn-N0-EY3DU7SY7AgB4tKhZzqxqSwIhAIvsRsbOdmU6IjM2BNbxTVIwHoeJs0Amb7BSU7bXxGY3
SC-13-053,https://vxqr.org/sn/SC-13-053#MEQCIFNk7YiOQXZ3Ll2YNyzs4FZCO8pEWUZZiZ3-wNp5NAX7AiAPlp87rjdWHb6qeyGz2Q8LrbRElqBTYjYU2Se2ddlRVw
SC-13-054,https://vxqr.org/sn/SC-13-054#MEUCIC3t4700uQ02RNDxZppCXfKwqWKhwReYjmUPvoocoIwWAiEAt-k-z3NhHyB2eDa18vJJcLkrjfVIrOuooKju7beW7Kk
SC-13-055,https://vxqr.org/sn/SC-13-055#MEUCIAShNxlKJK8BVgGA__oTKUfjnfZcce9MISMOfmYyVluyAiEAhzc52iYG4BcSVP9TLog473ti19a1Oex1W2T6voNxJJM
SC-13-056,https://vxqr.org/sn/SC-13-056#MEUCIQDMWz76H0k1L9W1EdZrZbO8eIE95yK9HLQ4asYwCU1GywIgHTapXGDrV4r3zcmZcrEP0i3opJlX4t8WQKvXY5osaRw
SC-13-057,https://vxqr.org/sn/SC-13-057#MEUCICg-c2raMqMzz9Dkfuj_VqV_ytjLZ385macZDpsd0oNQAiEAvmmPO-IeJgjrxzsHfTB0uxr-2agUBya0oB05F4jv7PA
SC-13-058,https://vxqr.org/sn/SC-13-058#MEQCIHLYgtaFMM3anrx3goOKhSRq_0AZDXGprQ1rJw7mv_pOAiBa67OrKSugsrNhVxWYdTbCtM9PLzrCafGMrCCSEUqkIg
SC-13-059,https://vxqr.org/sn/SC-13-059#MEYCIQChuHd39A-gmvKdbc_HiODt9V8ycIVb-4O1Z148eNP1XAIhAL8Azghzl6HkfKBczd_kATztBgj0A-kyaQ-1bkAIRUcz
SC-13-060,https://vxqr.org/sn/SC-13-060#MEYCIQDyZh5B1_q_Kr_1JrpQHMhKz649Y4tEiqRK4zAlDqIChAIhAPleuG650vBRARiqxXaW1PWgxW-TTblmGu7ihfiPHywh
SC-13-061,https://vxqr.org/sn/SC-13-061#MEYCIQCdOiN1Ac_2TKH_hGwJw1AQ3TttuqTOfDRKqqVN5FRypwIhAKkugthopT5oKCPDy4sXH_7FDTr8ms04P56VKjYW3wsm
SC-13-062,https://vxqr.org/sn/SC-13-062#MEQCIBGzWjWm6ABH0O_kAkvOa1_6dV602TVjbr3MNkkyjAeaAiAVvUSxU3js7lxvre_M82UCUPBCtrf987Pn1rgP3PQbqw
SC-13-063,https://vxqr.org/sn/SC-13-063#MEYCIQCuWkb61tkyixNfz4qiAjKf_g1OLkfEb_iiqQVjzvfNHAIhAL0QNJ7KD3A11lWV-pprg7a8NU_-x_cg3neBSTA0FAn2
